2025-05-01 09:49:55.263720: I external/local_xla/xla/tsl/cuda/cudart_stub.cc:32] Could not find cuda drivers on your machine, GPU will not be used.
2025-05-01 09:50:12,324 - ERROR - BRPT.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:12,326 - ERROR - Error mengambil data BSDE.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:12,326 - ERROR - BSDE.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:12,327 - ERROR - Error mengambil data BSSR.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:12,328 - ERROR - BSSR.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:12,329 - ERROR - Error mengambil data BTEK.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:12,329 - ERROR - BTEK.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:12,939 - ERROR - Error mengambil data BTEL.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:12,939 - ERROR - BTEL.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:12,940 - ERROR - Error mengambil data BTON.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:12,940 - ERROR - BTON.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:12,942 - ERROR - Error mengambil data BTPN.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:12,942 - ERROR - BTPN.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:12,943 - ERROR - Error mengambil data BTPS.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:12,943 - ERROR - BTPS.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:13,445 - ERROR - Error mengambil data BVSN.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:13,445 - ERROR - BVSN.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:13,445 - ERROR - Error mengambil data BYAN.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:13,447 - ERROR - BYAN.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:13,448 - ERROR - Error mengambil data BUVA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:13,449 - ERROR - Error mengambil data BUDI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:13,449 - ERROR - BUVA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:13,449 - ERROR - BUDI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:14,016 - ERROR - Error mengambil data CAKK.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:14,016 - ERROR - CAKK.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:14,017 - ERROR - Error mengambil data CAMP.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:14,017 - ERROR - CAMP.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:14,019 - ERROR - Error mengambil data CARS.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:14,019 - ERROR - CARS.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:14,019 - ERROR - Error mengambil data CANI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:14,020 - ERROR - CANI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:14,566 - ERROR - Error mengambil data CASA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:14,567 - ERROR - CASA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:14,569 - ERROR - Error mengambil data CASH.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:14,569 - ERROR - CASH.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:14,570 - ERROR - Error mengambil data CEKA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:14,570 - ERROR - CEKA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:14,571 - ERROR - Error mengambil data CBMF.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:14,572 - ERROR - CBMF.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:15,091 - ERROR - Error mengambil data CENT.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:15,091 - ERROR - CENT.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:15,095 - ERROR - Error mengambil data CITA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:15,095 - ERROR - CITA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:15,099 - ERROR - Error mengambil data CFIN.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:15,100 - ERROR - CFIN.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:15,101 - ERROR - Error mengambil data CINT.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:15,101 - ERROR - CINT.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:15,591 - ERROR - Error mengambil data CLAY.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:15,591 - ERROR - CLAY.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:15,593 - ERROR - Error mengambil data CLEO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:15,593 - ERROR - CLEO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:15,595 - ERROR - Error mengambil data CLPI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:15,595 - ERROR - Error mengambil data CITY.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:15,595 - ERROR - CLPI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:15,595 - ERROR - CITY.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:16,712 - ERROR - Error mengambil data CMNP.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:16,712 - ERROR - CMNP.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:16,713 - ERROR - Error mengambil data CMRY.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:16,713 - ERROR - CMRY.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:16,715 - ERROR - Error mengambil data CNKO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:16,715 - ERROR - CNKO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:16,716 - ERROR - Error mengambil data CMPP.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:16,716 - ERROR - CMPP.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:17,254 - ERROR - Error mengambil data CNTX.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:17,254 - ERROR - CNTX.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:17,256 - ERROR - Error mengambil data COCO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:17,256 - ERROR - COCO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:17,258 - ERROR - Error mengambil data COWL.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:17,258 - ERROR - Error mengambil data CPIN.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:17,258 - ERROR - COWL.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:17,258 - ERROR - CPIN.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:17,741 - ERROR - Error mengambil data CPRO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:17,741 - ERROR - CPRO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:17,743 - ERROR - Error mengambil data CSAP.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:17,743 - ERROR - CSAP.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:17,745 - ERROR - Error mengambil data CSIS.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:17,745 - ERROR - CSIS.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:17,745 - ERROR - Error mengambil data CTRA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:17,746 - ERROR - CTRA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:18,221 - ERROR - Error mengambil data DEAL.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:18,222 - ERROR - DEAL.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:18,223 - ERROR - Error mengambil data DEFI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:18,223 - ERROR - Error mengambil data DEPO.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:18,223 - ERROR - DEFI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:18,223 - ERROR - DEPO.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:18,270 - ERROR - Error mengambil data CTTH.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:18,270 - ERROR - CTTH.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:18,791 - ERROR - Error mengambil data DIGI.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:18,791 - ERROR - DIGI.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:18,794 - ERROR - Error mengambil data DILD.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:18,794 - ERROR - Error mengambil data DGIK.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:18,795 - ERROR - DILD.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:18,795 - ERROR - DGIK.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:19,234 - ERROR - Error mengambil data DIVA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:19,234 - ERROR - DIVA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:19,238 - ERROR - Error mengambil data DKFT.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:19,238 - ERROR - DKFT.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:19,702 - ERROR - Error mengambil data DLTA.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:19,702 - ERROR - DLTA.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:19,704 - ERROR - Error mengambil data DNAR.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:19,704 - ERROR - DNAR.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:19,707 - ERROR - Error mengambil data DMAS.JK: Too Many Requests. Rate limited. Try after a while.
2025-05-01 09:50:19,707 - ERROR - DMAS.JK: Data saham tidak ditemukan atau kosong.
2025-05-01 09:50:20,169 - ERROR - Error mengambil data DOID.JK: Too Many Requests. Rate limited. Try after a while.
